01_02_008_01	score: 0.9688671475995677
01_02_008_02	score: 0.9719430497264888
01_02_008_03	score: 0.9672435429122428
01_02_008_04	score: 0.9632719911479141
01_02_008_05	score: 0.9623018493317497
01_02_009_00	score: 0.9636171849002424
01_02_009_01	score: 0.9595038678772332
01_02_009_02	score: 0.9661613112860958
01_02_009_03	score: 0.9618163855985545
01_02_009_04	score: 0.9571937961310144
01_02_009_05	score: 0.9515194955970449
01_03_000_00	score: 0.9952636749952469
01_03_000_01	score: 0.9950876756645122
01_03_000_02	score: 0.9946138064186777
01_03_000_03	score: 0.9946346709346601
01_03_000_04	score: 0.9934236263679861
01_03_000_05	score: 0.9921326135359204
01_03_001_00	score: 0.9921205336240355
01_03_001_01	score: 0.9917336382120755
01_03_001_02	score: 0.9916272438575304
01_03_001_03	score: 0.9895651436064781
01_03_001_04	score: 0.988218600233186
01_03_001_05	score: 0.9869249748861938
01_03_002_00	score: 0.9837012908740737
01_03_002_01	score: 0.9856858609971528
01_03_002_02	score: 0.9826671456014549
01_03_002_03	score: 0.9826333582212889
01_03_002_04	score: 0.983224182849662
01_03_002_05	score: 0.9823190281501789
01_03_003_00	score: 0.9831641163495544
01_03_003_01	score: 0.9828729190959447
01_03_003_02	score: 0.9829697354709636
01_03_003_03	score: 0.9823410616564485
01_03_003_04	score: 0.9828395515952743
01_03_003_05	score: 0.9827851732917037
01_03_004_00	score: 0.9838811236766882
01_03_004_01	score: 0.9815140354652929
01_03_004_02	score: 0.979412828390586
01_03_004_03	score: 0.9781157549159339
01_03_004_04	score: 0.9772568725813441
01_03_004_05	score: 0.9788920286608667
01_03_005_00	score: 0.9799227648600155
01_03_005_01	score: 0.9785235057534393
01_03_005_02	score: 0.9780705359362195
01_03_005_03	score: 0.9759506502785829
01_03_005_04	score: 0.9707487538382633
01_03_005_05	score: 0.974331375398325
01_03_006_00	score: 0.975860371596009
01_03_006_01	score: 0.9712413835994365
01_03_006_02	score: 0.9692578030565757
01_03_006_03	score: 0.9707385576640063
01_03_006_04	score: 0.9693123218514781
01_03_006_05	score: 0.9672225776894475
01_03_007_00	score: 0.9680482237831283
01_03_007_01	score: 0.9667169576662442
01_03_007_02	score: 0.9624059592748914
01_03_007_03	score: 0.9623863953067187
01_03_007_04	score: 0.967674780696381
01_03_007_05	score: 0.9678687503967525
01_03_008_00	score: 0.9627981069341222
01_03_008_01	score: 0.9248503251453911
01_03_008_02	score: 0.9542803183693889
01_03_008_03	score: 0.9511460815759187
01_03_008_04	score: 0.9569122015269188
01_03_008_05	score: 0.9150075243730676
01_03_009_00	score: 0.9089557627103129
01_03_009_01	score: 0.9471415205187748
01_03_009_02	score: 0.9450952662462281
01_03_009_03	score: 0.9470000196069784
01_03_009_04	score: 0.9392809839666063
01_03_009_05	score: 0.8456024181742827
01_04_000_00	score: 0.9952260876076944
01_04_000_01	score: 0.9946818660551819
01_04_000_02	score: 0.9946211596170202
01_04_000_03	score: 0.9939232070271516
01_04_000_04	score: 0.9932004029707303
01_04_000_05	score: 0.9920498858282985
01_04_001_00	score: 0.9911354824366642
01_04_001_01	score: 0.9912868810658884
01_04_001_02	score: 0.989705162268926
01_04_001_03	score: 0.9881511650605859
01_04_001_04	score: 0.9850696775482394
01_04_001_05	score: 0.9848789667995314
01_04_002_00	score: 0.9815455029059702
01_04_002_01	score: 0.982302592663671
01_04_002_02	score: 0.9812358763290688
01_04_002_03	score: 0.9784985414386097
01_04_002_04	score: 0.9783323188709689
01_04_002_05	score: 0.9776910724088703
01_04_003_00	score: 0.978238472881558
01_04_003_01	score: 0.9787846808208988
01_04_003_02	score: 0.9742086520406147
01_04_003_03	score: 0.9729354571705009
01_04_003_04	score: 0.9715165042071846
01_04_003_05	score: 0.971599525409219
01_04_004_00	score: 0.9724363071843565
01_04_004_01	score: 0.9738518385051764
01_04_004_02	score: 0.971332558626486
01_04_004_03	score: 0.9679960449467901
01_04_004_04	score: 0.9677261342171547
01_04_004_05	score: 0.9689204619596011
01_04_005_00	score: 0.9687945628087274
01_04_005_01	score: 0.9755176622923607
01_04_005_02	score: 0.9727719528467685
01_04_005_03	score: 0.9697058987692695
01_04_005_04	score: 0.9698651487676656
01_04_005_05	score: 0.9715915633325648
01_04_006_00	score: 0.9710609271629645
01_04_006_01	score: 0.9693657118557942
01_04_006_02	score: 0.9657753064683813
01_04_006_03	score: 0.966424623710175
01_04_006_04	score: 0.9685794977912695
01_04_006_05	score: 0.9703564199511159
01_04_007_00	score: 0.9696666397981615
01_04_007_01	score: 0.9609536458765798
01_04_007_02	score: 0.9581990994608471
01_04_007_03	score: 0.9570463329404026
01_04_007_04	score: 0.958241645396987
01_04_007_05	score: 0.963464480968123
01_04_008_00	score: 0.9634365336156409
01_04_008_01	score: 0.9575258226044403
01_04_008_02	score: 0.9384817952887264
01_04_008_03	score: 0.9399274992586248
01_04_008_04	score: 0.9459062957374214
01_04_008_05	score: 0.9464146807733947
01_04_009_00	score: 0.9398809477221611
01_04_009_01	score: 0.945907452971144
01_04_009_02	score: 0.9135729489475851
01_04_009_03	score: 0.9030919516520334
01_04_009_04	score: 0.8962634325643277
01_04_009_05	score: 0.9223483654521868
02_00_000_00	score: 0.9962795563538863
02_00_000_01	score: 0.9935762924101803
02_00_000_02	score: 0.9931489383226773
02_00_000_03	score: 0.9961550570841561
02_00_000_04	score: 0.9961425207864305
02_00_000_05	score: 0.9956369373765755
02_00_001_00	score: 0.9962408806182068
02_00_001_01	score: 0.9952614020835023
02_00_001_02	score: 0.994443152285796
02_00_001_03	score: 0.9943030000284364
02_00_001_04	score: 0.9932014198259042
02_00_001_05	score: 0.9914225639060115
02_00_002_00	score: 0.9901327585070386
02_00_002_01	score: 0.9896334343047987
02_00_002_02	score: 0.9887266999549192
02_00_002_03	score: 0.986748389037492
02_00_002_04	score: 0.9848878321601454
02_00_002_05	score: 0.983758860809945
02_00_003_00	score: 0.9828162525381942
02_00_003_01	score: 0.983603957445269
02_00_003_02	score: 0.9834916341118818
02_00_003_03	score: 0.9806870188279521
02_00_003_04	score: 0.9785366154567519
02_00_003_05	score: 0.9770212727379424
02_00_004_00	score: 0.9770012673416366
02_00_004_01	score: 0.9793551515397515
02_00_004_02	score: 0.9791423522054836
02_00_004_03	score: 0.9781727555711193
02_00_004_04	score: 0.9771084949056923
02_00_004_05	score: 0.9784943600753495
02_00_005_00	score: 0.9797314486172723
02_00_005_01	score: 0.9827821305678839
02_00_005_02	score: 0.9820173928621088
02_00_005_03	score: 0.9813117105820708
02_00_005_04	score: 0.9839434027498404
02_00_005_05	score: 0.9830260280201141
02_00_006_00	score: 0.9844271533880887
02_00_006_01	score: 0.9819769938101263
02_00_006_02	score: 0.9809632413854601
02_00_006_03	score: 0.9790859503438848
02_00_006_04	score: 0.9805091630818392
02_00_006_05	score: 0.9813837739705009
02_00_007_00	score: 0.9755264087781886
02_00_007_01	score: 0.9786826633821998
02_00_007_02	score: 0.977212768771147
02_00_007_03	score: 0.9762756950354605
02_00_007_04	score: 0.9764299385303667
02_00_007_05	score: 0.9786909856040786
02_00_008_00	score: 0.977583777792109
02_00_008_01	score: 0.9307200325095037
02_00_008_02	score: 0.8827461418191116
02_00_008_03	score: 0.8761975631117108
02_00_008_04	score: 0.9094363928214364
02_00_008_05	score: 0.9064222792312082
02_00_009_00	score: 0.9686813312971035
02_00_009_01	score: 0.9603558568363872
02_00_009_02	score: 0.9553697797857879
02_00_009_03	score: 0.952074699157987
02_00_009_04	score: 0.8687512065395121
02_00_009_05	score: 0.865556026301037
02_01_000_00	score: 0.992403260685421
02_01_000_01	score: 0.9929060140222858
02_01_000_02	score: 0.9932989783131061
02_01_000_03	score: 0.9929603978947451
02_01_000_04	score: 0.9914582019350515
02_01_000_05	score: 0.9916292741818998
02_01_001_00	score: 0.9895639763469065
02_01_001_01	score: 0.9894127525346639
02_01_001_02	score: 0.988448946322052
02_01_001_03	score: 0.9871673023245945
02_01_001_04	score: 0.9850207317057904
02_01_001_05	score: 0.9837289238869872
02_01_002_00	score: 0.9833668736702714
02_01_002_01	score: 0.9829435627828842
02_01_002_02	score: 0.9826989952607142
02_01_002_03	score: 0.9806240219260153
02_01_002_04	score: 0.9797263655202045
02_01_002_05	score: 0.9779430418842243
02_01_003_00	score: 0.9773954898744587
02_01_003_01	score: 0.9778434554525041
02_01_003_02	score: 0.9763766325471497
02_01_003_03	score: 0.973261917288656
02_01_003_04	score: 0.9738128669009106
02_01_003_05	score: 0.9719045664812799
02_01_004_00	score: 0.9696834164706782
02_01_004_01	score: 0.9683678848978671
02_01_004_02	score: 0.9656634681993148
02_01_004_03	score: 0.9664955034365127
02_01_004_04	score: 0.9650717803889278
02_01_004_05	score: 0.9652429329461922
02_01_005_00	score: 0.9636452989809241
02_01_005_01	score: 0.9645513568228097
02_01_005_02	score: 0.9638569598801884
02_01_005_03	score: 0.9623610306399597
02_01_005_04	score: 0.9615673890401965
02_01_005_05	score: 0.9609199777317871
02_01_006_00	score: 0.9607273227225853
02_01_006_01	score: 0.9605986084468597
02_01_006_02	score: 0.9584903590712797
02_01_006_03	score: 0.9556207517829892
02_01_006_04	score: 0.9562010414440985
02_01_006_05	score: 0.9564613870989052
02_01_007_00	score: 0.9543726996835842
02_01_007_01	score: 0.9490071702608174
